ID_PRODUTO,DATA_EVENTO,PRECO,FLAG_PROMOCAO,QUANTIDADE_ESTOQUE
1000,2023-12-31,138.43,1,100
1001,2023-12-31,75.08,0,100
1002,2023-12-31,58.84,0,100
1003,2023-12-31,61.96,0,100
1004,2023-12-31,20.34,0,100
1005,2023-12-31,29.65,1,100
1006,2023-12-31,187.04,0,100
1007,2023-12-31,23.09,0,100
1008,2023-12-31,173.21,0,100
1009,2023-12-31,66.31,0,100
1010,2023-12-31,182.28,0,100
1011,2023-12-31,48.96,0,100
1012,2023-12-31,21.94,0,100
1013,2023-12-31,72.67,1,100
1014,2023-12-31,141.87,0,100
1015,2023-12-31,27.82,0,100
1016,2023-12-31,30.19,0,100
1017,2023-12-31,22.68,0,100
1018,2023-12-31,44.2,0,100
1019,2023-12-31,100.19,0,100
1020,2023-12-31,129.13,0,100
1021,2023-12-31,21.24,1,100
1022,2023-12-31,85.71,0,100
1023,2023-12-31,143.12,0,100
1024,2023-12-31,65.27,1,100
1000,2024-01-01,153.81,0,95
1001,2024-01-01,67.57,1,88
1002,2024-01-01,52.96,1,94
1003,2024-01-01,61.96,0,95
1004,2024-01-01,20.34,0,94
1005,2024-01-01,32.94,0,83
1006,2024-01-01,187.04,0,100
1007,2024-01-01,23.09,0,100
1008,2024-01-01,173.21,0,86
1009,2024-01-01,59.68,1,84
1010,2024-01-01,182.28,0,82
1011,2024-01-01,48.96,0,83
1012,2024-01-01,21.94,0,82
1013,2024-01-01,72.67,1,84
1014,2024-01-01,141.87,0,85
1015,2024-01-01,25.04,1,99
1016,2024-01-01,30.19,0,97
1017,2024-01-01,22.68,0,93
1018,2024-01-01,44.2,0,95
1019,2024-01-01,90.17,1,98
1020,2024-01-01,129.13,0,91
1021,2024-01-01,21.24,1,86
1022,2024-01-01,85.71,0,83
1023,2024-01-01,143.12,0,89
1024,2024-01-01,72.52,0,99
1000,2024-01-02,138.43,1,89
1001,2024-01-02,75.08,0,81
1002,2024-01-02,58.84,0,80
1003,2024-01-02,61.96,0,85
1004,2024-01-02,20.34,0,83
1005,2024-01-02,32.94,0,67
1006,2024-01-02,168.34,1,85
1007,2024-01-02,23.09,0,81
1008,2024-01-02,173.21,0,76
1009,2024-01-02,66.31,0,77
1010,2024-01-02,164.05,1,81
1011,2024-01-02,48.96,0,68
1012,2024-01-02,21.94,0,63
1013,2024-01-02,72.67,1,66
1014,2024-01-02,141.87,0,85
1015,2024-01-02,27.82,0,84
1016,2024-01-02,30.19,0,95
1017,2024-01-02,22.68,0,76
1018,2024-01-02,39.78,1,76
1019,2024-01-02,100.19,0,88
1020,2024-01-02,129.13,0,90
1021,2024-01-02,21.24,1,84
1022,2024-01-02,77.14,1,73
1023,2024-01-02,128.81,1,80
1024,2024-01-02,72.52,0,88
1000,2024-01-03,153.81,0,80
1001,2024-01-03,75.08,0,72
1002,2024-01-03,58.84,0,75
1003,2024-01-03,61.96,0,78
1004,2024-01-03,18.31,1,67
1005,2024-01-03,32.94,0,67
1006,2024-01-03,168.34,1,70
1007,2024-01-03,23.09,0,77
1008,2024-01-03,155.89,1,67
1009,2024-01-03,66.31,0,72
1010,2024-01-03,164.05,1,67
1011,2024-01-03,48.96,0,50
1012,2024-01-03,21.94,0,58
